time_ms,site,sensor,value,unit,temp_C,hum_pct,press_hPa
168849,1,BME_TEMP,25.910,C,25.91,64.88,1010.79
168849,1,BME_HUM,64.876,%,25.91,64.88,1010.79
168849,1,BME_PRESS,1010.785,hPa,25.91,64.88,1010.79
170192,1,MQ4_CH4,18.588,ppm,25.91,64.72,1010.82
170192,1,MQ136_H2S,2.047,ppm,25.91,64.72,1010.82
170192,1,MQ8_H2,0.050,ppm,25.91,64.72,1010.82
170192,1,MQ135_CO2,400.181,ppm,25.91,64.72,1010.82
170188,1,BME_TEMP,25.910,C,25.91,64.72,1010.82
170188,1,BME_HUM,64.717,%,25.91,64.72,1010.82
170188,1,BME_PRESS,1010.822,hPa,25.91,64.72,1010.82
171532,1,MQ4_CH4,18.616,ppm,25.90,64.61,1010.80
171532,1,MQ136_H2S,2.044,ppm,25.90,64.61,1010.80
171532,1,MQ8_H2,0.050,ppm,25.90,64.61,1010.80
171532,1,MQ135_CO2,400.181,ppm,25.90,64.61,1010.80
171527,1,BME_TEMP,25.900,C,25.90,64.61,1010.80
171527,1,BME_HUM,64.614,%,25.90,64.61,1010.80
171527,1,BME_PRESS,1010.801,hPa,25.90,64.61,1010.80
172901,1,MQ4_CH4,18.641,ppm,25.87,64.36,1010.78
172901,1,MQ136_H2S,2.042,ppm,25.87,64.36,1010.78
172901,1,MQ8_H2,0.050,ppm,25.87,64.36,1010.78
172901,1,MQ135_CO2,400.182,ppm,25.87,64.36,1010.78
172896,1,BME_TEMP,25.870,C,25.87,64.36,1010.78
172896,1,BME_HUM,64.359,%,25.87,64.36,1010.78
172896,1,BME_PRESS,1010.778,hPa,25.87,64.36,1010.78
174240,1,MQ4_CH4,18.633,ppm,25.85,64.36,1010.83
174240,1,MQ136_H2S,2.040,ppm,25.85,64.36,1010.83
174240,1,MQ8_H2,0.050,ppm,25.85,64.36,1010.83
174240,1,MQ135_CO2,400.182,ppm,25.85,64.36,1010.83
174235,1,BME_TEMP,25.850,C,25.85,64.36,1010.83
174235,1,BME_HUM,64.358,%,25.85,64.36,1010.83
174235,1,BME_PRESS,1010.829,hPa,25.85,64.36,1010.83
175580,1,MQ4_CH4,18.626,ppm,25.84,64.33,1010.81
175580,1,MQ136_H2S,2.038,ppm,25.84,64.33,1010.81
175580,1,MQ8_H2,0.050,ppm,25.84,64.33,1010.81
175580,1,MQ135_CO2,400.182,ppm,25.84,64.33,1010.81
175575,1,BME_TEMP,25.840,C,25.84,64.33,1010.81
175575,1,BME_HUM,64.333,%,25.84,64.33,1010.81
175575,1,BME_PRESS,1010.806,hPa,25.84,64.33,1010.81
176918,1,MQ4_CH4,18.650,ppm,25.84,64.53,1010.78
176918,1,MQ136_H2S,2.036,ppm,25.84,64.53,1010.78
176918,1,MQ8_H2,0.050,ppm,25.84,64.53,1010.78
176918,1,MQ135_CO2,400.182,ppm,25.84,64.53,1010.78
176914,1,BME_TEMP,25.840,C,25.84,64.53,1010.78
176914,1,BME_HUM,64.526,%,25.84,64.53,1010.78
176914,1,BME_PRESS,1010.779,hPa,25.84,64.53,1010.78
178257,1,MQ4_CH4,18.672,ppm,25.85,64.58,1010.82
178257,1,MQ136_H2S,2.035,ppm,25.85,64.58,1010.82
178257,1,MQ8_H2,0.050,ppm,25.85,64.58,1010.82
178257,1,MQ135_CO2,400.182,ppm,25.85,64.58,1010.82
178252,1,BME_TEMP,25.850,C,25.85,64.58,1010.82
178252,1,BME_HUM,64.585,%,25.85,64.58,1010.82
178252,1,BME_PRESS,1010.819,hPa,25.85,64.58,1010.82
179597,1,MQ4_CH4,18.691,ppm,25.86,64.60,1010.79
179597,1,MQ136_H2S,2.033,ppm,25.86,64.60,1010.79
179597,1,MQ8_H2,0.050,ppm,25.86,64.60,1010.79
179597,1,MQ135_CO2,400.182,ppm,25.86,64.60,1010.79
179592,1,BME_TEMP,25.860,C,25.86,64.60,1010.79
179592,1,BME_HUM,64.596,%,25.86,64.60,1010.79
179592,1,BME_PRESS,1010.791,hPa,25.86,64.60,1010.79
180936,1,MQ4_CH4,18.709,ppm,25.87,64.59,1010.84
180936,1,MQ136_H2S,2.032,ppm,25.87,64.59,1010.84
180936,1,MQ8_H2,0.050,ppm,25.87,64.59,1010.84
180936,1,MQ135_CO2,400.182,ppm,25.87,64.59,1010.84
180931,1,BME_TEMP,25.870,C,25.87,64.59,1010.84
