time_ms,site,sensor,value,unit,temp_C,hum_pct,press_hPa
161701,1,BME_PRESS,1018.573,hPa,19.03,55.31,1018.57
164044,1,MQ4_CH4,0.369,ppm,19.01,55.39,1018.59
164044,1,MQ136_H2S,0.517,ppm,19.01,55.39,1018.59
164044,1,MQ8_H2,0.095,ppm,19.01,55.39,1018.59
164044,1,MQ135_CO2,402.145,ppm,19.01,55.39,1018.59
164039,1,BME_TEMP,19.010,C,19.01,55.39,1018.59
164039,1,BME_HUM,55.390,%,19.01,55.39,1018.59
164039,1,BME_PRESS,1018.588,hPa,19.01,55.39,1018.59
166382,1,MQ4_CH4,0.333,ppm,19.00,55.41,1018.62
166382,1,MQ136_H2S,0.506,ppm,19.00,55.41,1018.62
166382,1,MQ8_H2,0.088,ppm,19.00,55.41,1018.62
166382,1,MQ135_CO2,402.229,ppm,19.00,55.41,1018.62
166378,1,BME_TEMP,19.000,C,19.00,55.41,1018.62
166378,1,BME_HUM,55.410,%,19.00,55.41,1018.62
166378,1,BME_PRESS,1018.616,hPa,19.00,55.41,1018.62
168721,1,MQ4_CH4,0.301,ppm,18.99,55.34,1018.58
168721,1,MQ136_H2S,0.486,ppm,18.99,55.34,1018.58
168721,1,MQ8_H2,0.081,ppm,18.99,55.34,1018.58
168721,1,MQ135_CO2,402.060,ppm,18.99,55.34,1018.58
168716,1,BME_TEMP,18.990,C,18.99,55.34,1018.58
168716,1,BME_HUM,55.342,%,18.99,55.34,1018.58
168716,1,BME_PRESS,1018.578,hPa,18.99,55.34,1018.58
171059,1,MQ4_CH4,0.272,ppm,18.98,55.46,1018.56
171059,1,MQ136_H2S,0.478,ppm,18.98,55.46,1018.56
171059,1,MQ8_H2,0.075,ppm,18.98,55.46,1018.56
171059,1,MQ135_CO2,401.947,ppm,18.98,55.46,1018.56
171054,1,BME_TEMP,18.980,C,18.98,55.46,1018.56
171054,1,BME_HUM,55.462,%,18.98,55.46,1018.56
171054,1,BME_PRESS,1018.560,hPa,18.98,55.46,1018.56
173396,1,MQ4_CH4,0.246,ppm,18.97,55.56,1018.57
173396,1,MQ136_H2S,0.474,ppm,18.97,55.56,1018.57
173396,1,MQ8_H2,0.070,ppm,18.97,55.56,1018.57
173396,1,MQ135_CO2,402.040,ppm,18.97,55.56,1018.57
173391,1,BME_TEMP,18.970,C,18.97,55.56,1018.57
173391,1,BME_HUM,55.562,%,18.97,55.56,1018.57
173391,1,BME_PRESS,1018.570,hPa,18.97,55.56,1018.57
175734,1,MQ4_CH4,0.222,ppm,18.97,55.51,1018.59
175734,1,MQ136_H2S,0.469,ppm,18.97,55.51,1018.59
175734,1,MQ8_H2,0.065,ppm,18.97,55.51,1018.59
175734,1,MQ135_CO2,402.108,ppm,18.97,55.51,1018.59
175729,1,BME_TEMP,18.970,C,18.97,55.51,1018.59
175729,1,BME_HUM,55.506,%,18.97,55.51,1018.59
175729,1,BME_PRESS,1018.587,hPa,18.97,55.51,1018.59
178072,1,MQ4_CH4,0.201,ppm,18.96,55.56,1018.56
178072,1,MQ136_H2S,0.462,ppm,18.96,55.56,1018.56
178072,1,MQ8_H2,0.061,ppm,18.96,55.56,1018.56
178072,1,MQ135_CO2,402.100,ppm,18.96,55.56,1018.56
178068,1,BME_TEMP,18.960,C,18.96,55.56,1018.56
178068,1,BME_HUM,55.560,%,18.96,55.56,1018.56
178068,1,BME_PRESS,1018.558,hPa,18.96,55.56,1018.56
180410,1,MQ4_CH4,0.182,ppm,18.95,55.56,1018.56
180410,1,MQ136_H2S,0.449,ppm,18.95,55.56,1018.56
180410,1,MQ8_H2,0.057,ppm,18.95,55.56,1018.56
180410,1,MQ135_CO2,401.925,ppm,18.95,55.56,1018.56
180406,1,BME_TEMP,18.950,C,18.95,55.56,1018.56
180406,1,BME_HUM,55.559,%,18.95,55.56,1018.56
180406,1,BME_PRESS,1018.557,hPa,18.95,55.56,1018.56
182749,1,MQ4_CH4,0.165,ppm,18.95,55.55,1018.57
182749,1,MQ136_H2S,0.432,ppm,18.95,55.55,1018.57
182749,1,MQ8_H2,0.053,ppm,18.95,55.55,1018.57
182749,1,MQ135_CO2,401.926,ppm,18.95,55.55,1018.57
